entry_scope,entry_number,section,variable_name,platform_question_type,prompt,choices_or_validation,grading_mode,points,reuse_notes
all,all,setup,entry_id,multiple_choice,"Which Molecular Exploration Notebook entry are you completing?","Entry 1; Entry 2; Entry 3; Entry 4",auto_completion,0.00,"Use in every entry; identifier only"
all,all,setup,protein_name,short_answer,"Enter the protein, molecule, or structure name you explored.","Required short text",completion,0.25,"Use in every entry"
all,all,setup,pdb_id,short_answer,"Enter the 4-character PDB ID used in the Atlas, if available.","4 alphanumeric characters; example 1MBN",completion,0.25,"Use in every entry"
all,all,setup,molecular_class,dropdown,"Which category best describes your selected structure?","oxygen transport/storage; enzyme; protease/drug target; DNA/RNA binding; signaling/hormone; membrane/transport; structural assembly; disease/misfolding; metabolic enzyme; other/unsure",auto_completion,0.25,"Use in every entry"
all,all,setup,atlas_features_used,checkbox,"Which Atlas tools did you use? Select all that apply.","structure view; sequence; conservation; Ramachandran; interactions; chemistry lens; pH and charge; solvent access; hydrophobic core; ligand/cofactor; mutation sandbox; guided lesson; gallery",completion,0.25,"Use in every entry"
all,all,screenshot,screenshot_upload,file_upload,"Upload one screenshot from the Biochemistry Visual Atlas that supports your observations.","Image file upload",manual_completion,1.50,"Use in every entry"
all,all,screenshot,screenshot_caption,short_answer,"Write a one-sentence caption explaining what your screenshot shows.","Suggested 15-35 words",manual_completion,0.50,"Use in every entry"
all,all,observation,key_structural_feature,dropdown,"Which structural feature is most important in your screenshot?","alpha helix; beta sheet; loop/turn; active site; ligand-binding pocket; cofactor; ionizable residue; hydrophobic core; surface region; subunit interface; membrane-spanning region; DNA/RNA contact; other",auto_completion,0.25,"Use in every entry"
all,all,observation,interaction_features,checkbox,"Which molecular interactions or chemical features did you observe? Select all that apply.","hydrogen bonding; ionic interaction/salt bridge; hydrophobic interaction; van der Waals contact; metal coordination; ligand/cofactor binding; pH-dependent ionization; resonance/delocalization; solvent accessibility; no clear interaction observed; unsure",completion,0.25,"Use in every entry"
all,all,observation,observation_specific_detail,short_answer,"What is one specific molecular detail you noticed?","Suggested 1-2 sentences",completion_manual_spot_check,0.50,"Use in every entry"
all,all,observation,observation_scientific_question,short_answer,"How does this detail relate to the weekly scientific question?","Suggested 1-2 sentences",manual,0.50,"Use in every entry"
all,all,reasoning,structure_function_claim,short_answer,"Make one concise claim connecting structure to function.","Suggested 1 sentence",manual,0.50,"Use in every entry"
